olá,0,SAUDACAO
olá,1,SAUDACAO
oi,0,SAUDACAO
oi,1,SAUDACAO
oii,0,SAUDACAO
oii,1,SAUDACAO
oie,0,SAUDACAO
oie,1,SAUDACAO
salve,0,SAUDACAO
salve,1,SAUDACAO
bão,0,SAUDACAO
bão,1,SAUDACAO
bão,2,SAUDACAO
bão,3,SAUDACAO
eai,0,SAUDACAO
eai,1,SAUDACAO
eae,0,SAUDACAO
eae,1,SAUDACAO
bom dia,0,SAUDACAO
bom dia,1,SAUDACAO
dia,0,SAUDACAO
dia,1,SAUDACAO
bom tarde,0,SAUDACAO
bom tarde,1,SAUDACAO
tarde,0,SAUDACAO
tarde,1,SAUDACAO
bom noite,0,SAUDACAO
bom noite,1,SAUDACAO
noite,0,SAUDACAO
noite,1,SAUDACAO
tudo bem,2,SAUDACAO
tudo bem,3,SAUDACAO
bem,2,SAUDACAO
bem,3,SAUDACAO
